model_name,split,MAE,RMSE,R2,SMAPE
Random Forest,validation,4.419897684741549,13.951144863270562,0.8938936116600775,24.017132552900378
Hist Gradient Boosting,validation,4.6418529913398325,14.303980653799538,0.8884587097699808,26.143157024635304
XGBoost,validation,4.585697504169772,14.368338775499012,0.8874527328365374,24.972228091324517
Ridge Regression,validation,5.2101813643671395,15.12848715204514,0.8752292351903643,30.183203398518792
Naive Current Value,validation,4.730070365158137,15.912902846951505,0.8619550072620363,24.469543613997736
Hist Gradient Boosting,test,4.0676129012101105,11.837497291338629,0.8546414074939521,25.13264954689804
Random Forest,test,4.041084759891045,11.959591682679422,0.8516274267565644,24.214897982628898
XGBoost,test,4.118298142199163,12.454548892063261,0.8390922627904167,24.46395937172583
Ridge Regression,test,4.616691706511263,13.044510646227428,0.8234870769475107,28.40594019325577
Naive Current Value,test,4.075201481481481,13.78913882412934,0.8027599010656313,23.457256976486196
